song,artist,comment,label,jjim,rating,date
너를 만나,폴킴,또또 아이유 바이브 다 내려가는데 혼자만 버티네밤만 되면 기계 가동하나??? ,1,"15,494",3.7, 2018-11-04
너를 만나,폴킴,1위할만큼 좋은거 같진 않다 ,1,"15,494",3.7, 2018-10-30
너를 만나,폴킴,야 아이유가 내려갔는데 폴킴이 안내려가 ? ㅋㅋㅋㅋㅋㅋㅋㅋ 아니 그럼 새벽에 사람들이 폴킴노래만 듣고 아이유노래는 안듣냐 ? ㅋㅋㅋㅋㅋㅋ 적당히좀 ;; ,1,"15,494",3.7, 2018-11-04
너를 만나,폴킴,1위 했다길래 기대하면서 들었더니 극히 평범한 노래인데?? 모든날 모든 순간이 훨씬 좋음 ㅋㅋ ,1,"15,494",3.7, 2018-11-01
너를 만나,폴킴,폴킴 아이유도 제치고 1위하지않았나 좀 수상하긴함 ,1,"15,494",3.7, 2018-11-04
너를 만나,폴킴,아직도 사재기하노 ,1,"15,494",3.7, 2018-11-03
너를 만나,폴킴,너였다면-정승환 노래랑 너무 비슷한거 아닙니까?? ,1,"15,494",3.7, 2018-10-31
너를 만나,폴킴,폴킴이 뜨니까 어색하다솔직히 이렇게 잘해도 묻히는 가수가 한둘이 아니라서.. ,1,"15,494",3.7, 2018-12-17
너를 만나,폴킴,이곡이 1위......라고???!! 나쁜곡은 아니지만 그냐유그런 발라든데.... ,1,"15,494",3.7, 2018-11-02
너를 만나,폴킴,노래별론데 ,1,"15,494",3.7, 2018-11-04
너를 만나,폴킴,폴킴도 대뷔초 반에 리메즈 패북이랑 너에게만 들려주는 음악에서 홍보 엄청 많이 했었지 ㅋㅋ ,1,"15,494",3.7, 2018-10-31
너를 만나,폴킴,하도 얘기가많아 들어봤는데 별론데? ,1,"15,494",3.7, 2018-11-01
너를 만나,폴킴,1위할 노래는 아닌거 같은데 흠 ㅋㅋㅋㅋㅋ ,1,"15,494",3.7, 2018-10-30
너를 만나,폴킴,이 시간에 트와보다 높다고? 트와 신곡 버프가 남아있는데 트와보다 높은건 진짜 이상함...기계돌리는거 같음 ,1,"15,494",3.7, 2018-11-07
너를 만나,폴킴,이사람은 왜 맨날1위?ㅋㅋㅋㅋㅋ 진짜 웃기다 ,1,"15,494",3.7, 2018-10-30
너를 만나,폴킴,폴재기 ,1,"15,494",3.7, 2018-11-03
너를 만나,폴킴,노래 좋긴한데 1등까지는 글쎄.. ,1,"15,494",3.7, 2018-11-01
너를 만나,폴킴,난 별로 ,1,"15,494",3.7, 2018-11-01
너를 만나,폴킴,좋지도 않은 이노래는 왜자꾸 5위냐 ,1,"15,494",3.7, 2018-12-04
너를 만나,폴킴,얘는 왜여기잇니. ,1,"15,494",3.7, 2018-11-23
너를 만나,폴킴,나만 노래 별로냐 ? ,1,"15,494",3.7, 2018-11-09
너를 만나,폴킴,사재기 사재기 사재기 사장이랑 가수는 재기하시길/^^ ,1,"15,494",3.7, 2018-11-04
너를 만나,폴킴,그게아니거 ㅋㅋㅋ 폴킴이 차근차근 유명해진건 알겟는데 삐삐 가을타나봐는 12 13위로 떨어졋는데 어떻게 이거 혼자 버티냐구요 ㅋㅋㅋㅋㅋ기계지뭐 ,1,"15,494",3.7, 2018-11-03
너를 만나,폴킴,차트 진짜 개판되겠네 개웃김 ,1,"15,494",3.7, 2018-11-02
너를 만나,폴킴,응 쳐내려가 ,1,"15,494",3.7, 2018-11-02
너를 만나,폴킴,음..이게 왜? ,1,"15,494",3.7, 2018-11-01
너를 만나,폴킴,목소리 개답답하네ㅋㅋㅋㅋ 듣기싫음 ,1,"15,494",3.7, 2018-10-31
